Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Policy Type,Sales Channel,Total Claim Amount,Vehicle Class
OE15005,California,3945.241604,No,Basic,College,01-May-11,Medical Leave,Male,28855,Suburban,Married,101,Personal Auto,Call Center,647.442031,SUV
WC83389,Oregon,5710.333115,No,Basic,College,2/27/1960,Employed,Male,51148,Urban,Married,72,Personal Auto,Branch,308.981664,Four-Door Car
FL50705,California,8162.617053,No,Premium,High School or Below,1/14/11,Employed,Female,66140,Suburban,Married,101,Corporate Auto,Call Center,484.8,Four-Door Car
ZK25313,Oregon,2872.051273,No,Basic,High School or Below,2/19/11,Employed,Male,57749,Suburban,Single,74,Personal Auto,Branch,355.2,Two-Door Car
,,,,,,,,,,,,,,,,
YH23384,AR,24127.50402,Yes,Basic,Bachelor,2/24/10,Medical Leave,Male,14072,Suburban,Divorced,71,Personal Auto,Agent,511.2,Four-Door Car
TZ98966,Nevada,2450.190996,No,Basic,Bachelor,2/24/11,Unemployed,Female,0,Suburban,,73,Corporate Auto,Branch,554.376763,Four-Door Car
HM55802,California,2392.10789,No,Basic,Bachelor,02-May-11,Disabled,Female,17870,Suburban,Married,61,Corporate Auto,Branch,439.2,Four-Door Car
FS42516,Oregon,5802.065978,No,Basic,College,1/29/11,Employed,Male,97541,Suburban,Married,72,Personal Auto,Call Center,389.185006,Four-Door Car
US89481,California,3946.372085,No,Premium,Bachelor,2/28/11,Unemployed,Female,0,Suburban,Single,111,Personal Auto,Agent,799.2,Four-Door Car
,,,,,,,,,,,,,,,,
GE62437,AR,12902.56014,No,Premium,College,02-Feb-11,Employed,Female,86584,Suburban,Single,111,Personal Auto,Call Center,532.8,Four-Door Car
EJ77678,Oregon,3235.360468,No,Extended,Master,02-Jul-11,Employed,Female,75690,Suburban,Married,80,Personal Auto,Branch,384,Four-Door Car
SV85652,AR,2454.58354,No,Basic,College,2/28/11,Employed,Male,23158,Suburban,Married,63,Personal Auto,Call Center,322.294043,Four-Door Car
UL64533,Nevada,18975.45611,No,Extended,High School or Below,1/22/11,Employed,Male,65999,Urban,,237,Corporate Auto,Agent,615.927769,Luxury SUV
PF41800,California,4715.321344,No,Basic,Bachelor,1/25/11,Unemployed,Male,0,Urban,Married,65,Personal Auto,Call Center,308.15089,Four-Door Car
,,,,,,,,,,,,,,,,
SK67821,Oregon,4932.916345,No,Basic,Bachelor,2/13/11,Employed,Female,37260,Rural,Married,62,Corporate Auto,Web,15.437681,Four-Door Car
YV55495,AR,5744.229745,No,Basic,High School or Below,1/15/11,Employed,Female,68987,Urban,Married,71,Personal Auto,Branch,204.475147,Four-Door Car
KY38074,California,13891.73567,No,Premium,Bachelor,01-Aug-11,Employed,Male,42305,Suburban,Married,117,Personal Auto,Agent,561.6,Four-Door Car
DM79012,Oregon,7380.976717,No,Extended,Master,02-Jun-11,Employed,Female,65706,Suburban,Married,91,Personal Auto,Web,436.8,Four-Door Car
CM61827,Oregon,3090.034104,No,Extended,Bachelor,1/25/11,Unemployed,Male,0,Suburban,Single,90,Personal Auto,Agent,648,Two-Door Car
WC35801,AR,2521.633095,No,Basic,High School or Below,02-Jul-11,Employed,Male,53243,Rural,Divorced,66,Personal Auto,Call Center,157.397849,Four-Door Car
QG25316,Nevada,2652.061785,No,Basic,High School or Below,1/18/11,Unemployed,Female,0,Suburban,,70,Corporate Auto,Call Center,484.318536,Two-Door Car
MB98372,Oregon,2771.045031,Yes,Basic,College,01-Nov-11,Employed,Female,50071,Rural,Single,71,Corporate Auto,Agent,18.918935,Two-Door Car
IL19217,California,3939.00637,Yes,Extended,Bachelor,1/28/11,Employed,Female,60021,Suburban,Married,99,Personal Auto,Agent,882.871945,Four-Door Car
SR38658,AR,12231.87968,No,Basic,High School or Below,02-Aug-11,Employed,Male,43244,Suburban,Married,103,Personal Auto,Agent,494.4,Sports Car
,,,,,,,,,,,,,,,,
HG65722,Oregon,12819.10289,No,Premium,Doctor,1/25/11,Disabled,Female,10105,Rural,Married,172,Personal Auto,Branch,0.517753,SUV
BU27331,AR,4468.510542,No,Basic,Bachelor,1/31/11,Unemployed,Male,0,Suburban,Single,73,Personal Auto,Call Center,579.165954,Four-Door Car
XM45289,Oregon,5514.344018,No,Basic,High School or Below,01-Feb-11,Employed,Female,23218,Suburban,Single,71,Personal Auto,Agent,447.79344,Two-Door Car
KP34198,California,3343.875326,No,Extended,Bachelor,02-Jul-11,Unemployed,Female,0,Suburban,Married,92,Corporate Auto,Call Center,529.624084,Four-Door Car
SH90947,AR,2294.478927,No,Basic,High School or Below,1/18/11,Unemployed,Female,0,Suburban,Married,62,Personal Auto,Branch,313.023175,Four-Door Car
WE95729,Oregon,36707.42639,No,Basic,College,1/17/11,Employed,Male,24804,Suburban,Married,104,Personal Auto,Agent,593.830288,SUV
PY51963,California,33473.34946,Yes,Basic,Bachelor,01-Nov-11,Employed,Female,33190,Suburban,Divorced,106,Corporate Auto,Web,508.8,SUV
RB69909,Nevada,7983.431709,No,Basic,High School or Below,2/21/11,Employed,Female,36014,Rural,,69,Special Auto,Branch,173.956072,Four-Door Car
,,,,,,,,,,,,,,,,
FR46645,California,4293.997319,No,Premium,Bachelor,1/17/11,Disabled,Male,16701,Suburban,Married,113,Personal Auto,Branch,831.625979,Four-Door Car
SY17488,AR,7164.395543,No,Extended,College,02-May-11,Employed,Female,46623,Suburban,Divorced,91,Corporate Auto,Call Center,436.8,Four-Door Car
AP67935,California,7619.5158,No,Basic,College,2/13/11,Employed,Male,64749,Urban,Married,64,Special Auto,Branch,302.56519,Four-Door Car
FS37417,AR,3958.002823,No,Basic,High School or Below,2/23/11,Unemployed,Female,0,Suburban,Married,101,Personal Auto,Call Center,484.8,SUV
ML29312,Oregon,4499.493252,No,Extended,High School or Below,1/28/11,Disabled,Female,16969,Suburban,Divorced,124,Personal Auto,Call Center,704.768111,SUV
UB61619,Oregon,4059.567414,No,Premium,Master,2/28/11,Disabled,Female,11621,Suburban,Divorced,108,Personal Auto,Agent,518.4,Four-Door Car
CD86811,AR,4458.113369,Yes,Basic,Bachelor,01-Feb-11,Retired,Male,17622,Suburban,Divorced,65,Personal Auto,Agent,312,Four-Door Car
RU83859,California,8110.333139,No,Premium,Bachelor,1/22/11,Medical Leave,Female,11489,Suburban,Married,105,Personal Auto,Call Center,504,Two-Door Car
FG63582,Oregon,3339.764873,No,Extended,Bachelor,1/15/11,Unemployed,Male,0,Suburban,Single,94,Personal Auto,Agent,863.327324,Two-Door Car
NN71951,California,24261.01777,No,Basic,High School or Below,1/27/11,Employed,Female,66525,Rural,Married,100,Personal Auto,Agent,104.331355,SUV
WB37082,AR,6613.973653,No,Basic,Bachelor,1/23/11,Unemployed,Female,0,Suburban,Single,63,Personal Auto,Branch,676.391482,Four-Door Car
,,,,,,,,,,,,,,,,
FL82372,Oregon,8672.194272,No,Basic,College,1/26/11,Employed,Female,22547,Suburban,Divorced,112,Corporate Auto,Agent,537.6,SUV
DP45816,AR,11638.66926,No,Extended,High School or Below,01-Oct-11,Employed,Female,61486,Urban,Married,97,Personal Auto,Branch,465.258644,Two-Door Car
GW33762,Oregon,6846.150323,Yes,Extended,Bachelor,1/27/11,Unemployed,Female,0,Suburban,Divorced,95,Personal Auto,Call Center,456,Two-Door Car
RZ33670,California,11727.77648,No,Premium,College,01-Sep-11,Disabled,Female,29879,Suburban,Married,102,Personal Auto,Web,500.254235,Four-Door Car
PY70169,Oregon,22643.83478,No,Basic,High School or Below,2/24/11,Employed,Male,93011,Rural,Divorced,113,Personal Auto,Agent,281.451042,SUV
MO91628,Oregon,2614.474305,No,Basic,Master,02-Nov-11,Employed,Male,65186,Rural,Married,65,Personal Auto,Web,5.434505,Two-Door Car
HW87852,Oregon,2451.752695,No,Basic,Master,02-Dec-11,Medical Leave,Male,26840,Suburban,Married,64,Personal Auto,Agent,307.2,Four-Door Car
HB20453,Oregon,6781.270203,No,Basic,Bachelor,02-Apr-11,Unemployed,Male,0,Suburban,Single,104,Personal Auto,Agent,982.399613,Sports Car
BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,1/18/11,Employed,Male,75644,Suburban,Divorced,65,Personal Auto,Branch,467.803638,Two-Door Car
YX23800,Oregon,8591.604933,No,Basic,Bachelor,02-Nov-11,Employed,Male,38984,Suburban,Married,73,Personal Auto,Branch,350.4,Four-Door Car
DZ87709,Oregon,5592.161392,No,Basic,High School or Below,02-Jan-11,Employed,Female,71811,Rural,Single,71,Personal Auto,Call Center,29.03416,Four-Door Car
XW13033,Nevada,8009.472833,No,Basic,College,2/15/11,Employed,Male,20961,Suburban,,67,Personal Auto,Agent,321.6,Four-Door Car
,,,,,,,,,,,,,,,,
OM82309,California,58166.55351,No,Basic,Bachelor,2/27/11,Employed,Male,61321,Rural,Single,186,Personal Auto,Branch,427.63121,Luxury Car
ZU35962,California,8025.229358,No,Extended,College,1/26/11,Unemployed,Female,0,Rural,Single,77,Personal Auto,Branch,25.807685,Two-Door Car
VH85817,California,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,Male,51066,Suburban,Single,74,Personal Auto,Call Center,787.993313,Four-Door Car
DT85712,California,4118.539113,No,Basic,Doctor,1/27/11,Employed,Male,34378,Suburban,Married,102,Personal Auto,Branch,489.6,SUV
YJ88573,Nevada,2523.07015,No,Basic,Master,1/16/11,Employed,Male,43072,Suburban,,63,Personal Auto,Call Center,302.4,Four-Door Car
SQ19467,Oregon,6554.216396,No,Extended,College,1/27/11,Disabled,Female,25222,Suburban,Single,90,Personal Auto,Agent,475.623251,Four-Door Car
,,,,,,,,,,,,,,,,
ET79815,California,5926.729379,Yes,Extended,College,1/25/11,Retired,Male,23091,Suburban,Married,96,Personal Auto,Agent,460.8,Four-Door Car
QC35222,California,2683.470677,No,Basic,Bachelor,01-Jan-11,Employed,Female,48269,Urban,Married,69,Corporate Auto,Web,282.151207,Four-Door Car
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,02-Jan-11,Employed,Female,32720,Suburban,Divorced,67,Personal Auto,Branch,321.6,Four-Door Car
OI48267,California,6047.02516,Yes,Extended,College,2/19/11,Employed,Male,20396,Suburban,Married,76,Personal Auto,Branch,364.8,Four-Door Car
JY67916,Oregon,13171.01282,No,Premium,College,1/27/11,Medical Leave,Male,21513,Suburban,Married,119,Personal Auto,Branch,679.827592,Two-Door Car
,,,,,,,,,,,,,,,,
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,1/17/11,Employed,Female,80744,Rural,Married,63,Corporate Auto,Agent,11.879037,Four-Door Car
WK30175,Oregon,2672.095756,No,Basic,Bachelor,02-Oct-11,Employed,Male,52822,Suburban,Married,67,Corporate Auto,Branch,350.529033,Two-Door Car
ON44465,California,5313.294035,No,Extended,High School or Below,1/24/11,Unemployed,Female,0,Suburban,Single,77,Personal Auto,Agent,863.3947,Four-Door Car
TV87155,Oregon,20946.19251,No,Basic,Bachelor,2/24/11,Employed,Female,69738,Suburban,Married,74,Personal Auto,Branch,492.127532,Four-Door Car
KH48895,AR,8375.353929,No,Basic,Master,2/15/11,Medical Leave,Female,17780,Rural,Married,109,Personal Auto,Branch,132.588288,SUV
NZ30757,California,4801.661503,No,Basic,Bachelor,2/16/11,Medical Leave,Male,18107,Suburban,Married,62,Personal Auto,Agent,297.6,Four-Door Car
RI22468,AR,5745.94334,No,Basic,Bachelor,1/22/11,Employed,Female,57740,Urban,Married,74,Personal Auto,Web,269.905129,Four-Door Car
FZ30935,Oregon,6066.115969,No,Extended,College,2/25/11,Employed,Male,32627,Suburban,Married,76,Personal Auto,Agent,380.036697,Two-Door Car
UG93476,California,8002.308333,Yes,Basic,College,01-Nov-11,Unemployed,Female,0,Suburban,Married,107,Personal Auto,Agent,513.6,SUV
AB96670,California,2393.915369,Yes,Basic,College,1/31/11,Unemployed,Male,0,Suburban,Single,70,Personal Auto,Branch,425.266308,Four-Door Car
XK64261,Oregon,4762.8179,No,Basic,Bachelor,01-Dec-11,Employed,Male,65795,Rural,Single,62,Corporate Auto,Call Center,49.011099,Two-Door Car
EV68375,California,4330.38602,Yes,Premium,College,2/16/11,Employed,Male,60475,Suburban,Married,107,Personal Auto,Branch,513.6,Four-Door Car
UN51653,California,9402.729769,No,Extended,High School or Below,02-Sep-11,Unemployed,Female,0,Suburban,Single,130,Personal Auto,Web,936,SUV
TO96662,Oregon,6966.694527,No,Extended,Bachelor,1/19/11,Employed,Female,41837,Rural,Married,88,Personal Auto,Call Center,142.062768,Four-Door Car
MR52087,California,7694.064293,No,Basic,Bachelor,01-Apr-11,Employed,Female,32303,Rural,Married,65,Personal Auto,Branch,45.152521,Four-Door Car
DE75225,Oregon,8717.561149,No,Basic,High School or Below,01-Sep-11,Unemployed,Male,0,Suburban,Married,117,Personal Auto,Agent,561.6,SUV
EP80820,California,5928.748528,No,Basic,Bachelor,1/27/11,Employed,Female,40531,Rural,Married,74,Personal Auto,Agent,30.567357,Two-Door Car
GU99037,Oregon,2452.977288,No,Basic,College,2/14/11,Employed,Male,79898,Urban,Married,62,Corporate Auto,Agent,271.606799,Four-Door Car
WI57118,California,6701.571657,No,Extended,College,2/27/11,Employed,Male,56398,Suburban,Married,85,Personal Auto,Agent,408,Four-Door Car
,,,,,,,,,,,,,,,,
MQ14219,AR,8492.6988,No,Basic,College,2/26/11,Employed,Male,27804,Suburban,Married,109,Personal Auto,Branch,784.8,SUV
KN20603,Oregon,7713.494046,No,Basic,Bachelor,2/20/11,Employed,Male,45506,Suburban,Single,66,Personal Auto,Agent,316.8,Four-Door Car
,,,,,,,,,,,,,,,,
JI70886,California,7290.069769,No,Basic,High School or Below,2/15/11,Unemployed,Male,0,Suburban,Married,102,Corporate Auto,Agent,489.6,SUV
VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,Male,20993,Suburban,Divorced,133,Personal Auto,Agent,638.4,SUV
OX28638,AR,6806.491395,No,Extended,High School or Below,1/21/11,Employed,Male,37839,Suburban,Married,86,Personal Auto,Branch,465.633954,Two-Door Car
SK55033,California,2469.781334,No,Basic,Bachelor,1/15/11,Employed,Female,92711,Suburban,Single,62,Personal Auto,Agent,368.400146,Two-Door Car
OO88645,California,3103.923041,No,Extended,College,02-May-11,Employed,Female,74665,Urban,Married,78,Corporate Auto,Call Center,236.902001,Four-Door Car
,,,,,,,,,,,,,,,,
CW82151,California,8902.737595,No,Basic,Bachelor,01-May-11,Employed,Male,46833,Rural,Married,112,Personal Auto,Call Center,64.109663,Sports Car
DY22043,Oregon,5499.447223,No,Basic,High School or Below,1/28/11,Employed,Female,88768,Suburban,Married,68,Personal Auto,Branch,326.4,Two-Door Car
SH36774,California,15023.59858,No,Basic,High School or Below,01-Dec-11,Employed,Male,28262,Suburban,Single,192,Personal Auto,Web,921.6,Luxury SUV
EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/11,Employed,Female,33555,Rural,,63,Personal Auto,Agent,101.89645,Four-Door Car
FH85960,Oregon,31221.7481,No,Premium,College,01-Mar-11,Employed,Male,42780,Suburban,Divorced,113,Personal Auto,Call Center,542.4,Four-Door Car
XA55993,Oregon,3133.503432,No,Extended,Master,02-Jul-11,Employed,Female,58850,Rural,Single,78,Personal Auto,Branch,143.747794,Four-Door Car
GO36627,AR,3837.451863,No,Extended,College,1/13/11,Employed,Male,21880,Urban,Married,97,Special Auto,Branch,424.077159,Four-Door Car
QH48047,Oregon,11790.49617,Yes,Basic,College,01-Mar-11,Retired,Male,25251,Suburban,Divorced,66,Personal Auto,Web,316.8,Four-Door Car
,,,,,,,,,,,,,,,,
UH65059,AR,4305.808345,No,Basic,High School or Below,1/21/11,Employed,Male,24188,Suburban,Married,109,Personal Auto,Agent,523.2,Sports Car
FV21968,Nevada,5973.976904,No,Basic,Bachelor,1/26/11,Employed,Female,41611,Rural,,74,Special Auto,Branch,113.801497,Four-Door Car
QA87025,Oregon,5670.442396,No,Basic,Bachelor,1/31/11,Employed,Female,28406,Urban,Married,72,Personal Auto,Call Center,192.87572,Four-Door Car
TQ13499,AR,4731.749346,No,Premium,College,01-Feb-11,Employed,Male,69833,Suburban,Married,118,Personal Auto,Agent,828.662719,Four-Door Car
BU44523,AR,8026.379641,No,Basic,High School or Below,02-Jul-11,Unemployed,Female,0,Suburban,Single,74,Corporate Auto,Web,532.8,Four-Door Car
MS41162,AR,4022.963529,No,Basic,High School or Below,1/26/11,Unemployed,Male,0,Suburban,Single,117,Personal Auto,Agent,975.107098,SUV
PU25891,Oregon,9618.310865,No,Basic,High School or Below,01-Nov-11,Employed,Female,80536,Rural,Married,119,Special Auto,Branch,53.798708,Sports Car
,,,,,,,,,,,,,,,,
SX26335,Oregon,9552.926922,No,Extended,College,02-Aug-11,Employed,Female,97732,Urban,Married,79,Personal Auto,Branch,289.9122,Four-Door Car
AZ95587,AR,10388.55323,No,Extended,Bachelor,01-Nov-11,Employed,Female,61222,Urban,Single,89,Special Auto,Branch,392.604371,Four-Door Car
DS81757,Oregon,2470.121222,No,Basic,College,01-Sep-11,Unemployed,Male,0,Suburban,Single,74,Personal Auto,Web,721.242206,Two-Door Car
OJ94107,AR,5619.068508,No,Premium,Master,02-Apr-11,Employed,Male,50335,Urban,Married,140,Personal Auto,Call Center,456.52385,SUV
LP84436,California,9047.119209,No,Extended,High School or Below,1/21/11,Unemployed,Female,0,Suburban,Single,127,Personal Auto,Branch,1087.995426,Sports Car
,,,,,,,,,,,,,,,,
LM19287,Oregon,3731.504584,Yes,Extended,High School or Below,2/24/11,Unemployed,Female,0,Suburban,Married,96,Personal Auto,Agent,460.8,Four-Door Car
ZU18643,Nevada,3660.770258,No,Extended,Bachelor,1/18/11,Employed,Male,64495,Urban,,92,Corporate Auto,Web,251.992083,Four-Door Car
AZ82578,California,7928.829252,No,Basic,College,1/30/11,Unemployed,Female,0,Suburban,Married,72,Corporate Auto,Call Center,345.6,Four-Door Car
XC67861,AR,5011.751577,No,Basic,Bachelor,01-Sep-11,Employed,Female,28859,Suburban,Divorced,67,Corporate Auto,Call Center,321.6,Two-Door Car
YC43143,AR,7988.258292,No,Extended,High School or Below,02-Jan-11,Employed,Female,77330,Rural,Married,99,Personal Auto,Web,99.257608,Four-Door Car
EK59571,Oregon,3885.456401,Yes,Premium,College,2/28/11,Unemployed,Male,0,Suburban,Married,105,Corporate Auto,Branch,504,Four-Door Car
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PD27940,AR,4885.162511,No,Extended,High School or Below,02-Dec-11,Disabled,Male,26372,Suburban,Married,126,Personal Auto,Agent,604.8,SUV
BS77946,AR,9753.307106,No,Extended,Bachelor,2/24/11,Medical Leave,Female,17514,Rural,Married,127,Personal Auto,Branch,8.312729,SUV
YM50253,California,2946.153697,No,Basic,Bachelor,02-Jan-11,Employed,Female,89270,Urban,Single,74,Personal Auto,Branch,316.599228,Four-Door Car
NR15332,California,2581.110945,No,Basic,High School or Below,02-Jun-11,Employed,Male,29757,Suburban,Married,65,Personal Auto,Web,312,Four-Door Car
RC62865,Oregon,3517.385764,No,Extended,College,1/23/11,Employed,Male,51814,Rural,Single,92,Personal Auto,Agent,56.300724,Four-Door Car
CC15295,Oregon,9743.350113,No,Extended,Bachelor,1/21/11,Employed,Female,24028,Suburban,Married,82,Personal Auto,Agent,393.6,Four-Door Car
KA61892,AR,3873.647046,Yes,Basic,College,1/20/11,Retired,Male,28142,Suburban,Married,105,Personal Auto,Agent,701.708239,Sports Car
OS94884,AR,7649.28199,No,Basic,Bachelor,01-Jun-11,Employed,Female,52705,Rural,Married,64,Personal Auto,Web,128.705563,Two-Door Car
ND87334,California,2287.59692,No,Basic,High School or Below,2/22/11,Unemployed,Male,0,Suburban,Married,63,Corporate Auto,Agent,679.368378,Two-Door Car
,,,,,,,,,,,,,,,,
YL74911,California,8714.922135,Yes,Basic,College,2/21/11,Unemployed,Female,0,Suburban,Divorced,118,Personal Auto,Agent,566.4,SUV
,,,,,,,,,,,,,,,,
HL53154,California,7416.197322,No,Extended,Bachelor,2/22/11,Unemployed,Male,0,Suburban,Single,77,Personal Auto,Agent,554.4,Four-Door Car
RI78966,Oregon,7771.158973,No,Basic,Master,2/21/11,Medical Leave,Male,21876,Suburban,Married,68,Personal Auto,Agent,465.41477,Four-Door Car
IC13702,California,6968.3419,No,Basic,Bachelor,01-Oct-11,Unemployed,Female,0,Suburban,Single,69,Personal Auto,Agent,496.8,Four-Door Car
BE10809,California,4250.282624,Yes,Basic,High School or Below,1/18/11,Unemployed,Female,0,Suburban,Single,61,Personal Auto,Agent,292.8,Four-Door Car
HT87217,Oregon,19776.56654,No,Extended,High School or Below,1/16/11,Employed,Female,70699,Urban,Divorced,82,Personal Auto,Agent,256.813837,Four-Door Car
TH95618,California,21343.46599,No,Basic,High School or Below,01-Jun-11,Unemployed,Female,0,Suburban,Married,74,Personal Auto,Agent,355.2,Four-Door Car
TS19868,California,2413.139714,No,Basic,College,1/27/11,Medical Leave,Male,27501,Suburban,Married,63,Personal Auto,Branch,542.319401,Four-Door Car
LP45550,Oregon,15363.84716,No,Premium,Doctor,1/15/11,Disabled,Female,15897,Urban,Divorced,101,Personal Auto,Agent,303.148399,Four-Door Car
QR87004,Nevada,8456.961887,No,Basic,College,01-Sep-11,Employed,Female,25141,Rural,,73,Personal Auto,Agent,25.438063,Four-Door Car
OE75747,Nevada,2189.642522,No,Basic,College,1/28/11,Unemployed,Female,0,Suburban,,61,Personal Auto,Agent,292.8,Four-Door Car
DX91392,California,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,Male,51066,Suburban,Single,74,Personal Auto,Call Center,787.993313,Four-Door Car
AB72731,California,4639.981638,No,Basic,Bachelor,01-Apr-11,Employed,Female,28358,Rural,Married,117,Personal Auto,Call Center,84.024413,Sports Car
,,,,,,,,,,,,,,,,
IS12901,AR,5968.118877,No,Basic,Bachelor,1/27/11,Employed,Female,90972,Urban,Married,74,Personal Auto,Call Center,232.926145,Two-Door Car
,,,,,,,,,,,,,,,,
HH90090,California,4076.634665,No,Basic,Bachelor,1/23/11,Employed,Female,29549,Suburban,Divorced,104,Personal Auto,Call Center,710.433775,Sports Car
IU25463,California,12252.60179,No,Premium,Bachelor,2/18/11,Unemployed,Female,0,Suburban,Married,115,Personal Auto,Agent,552,Four-Door Car
KC11055,Nevada,16936.27147,No,Extended,Bachelor,1/24/11,Employed,Female,39411,Suburban,,217,Personal Auto,Branch,1122.658899,Luxury Car
PD33979,Oregon,4892.435461,No,Basic,High School or Below,2/18/11,Employed,Male,21709,Suburban,Married,62,Personal Auto,Branch,408.374746,Four-Door Car
NK71023,Nevada,9942.304791,No,Extended,Bachelor,1/19/11,Employed,Male,67890,Suburban,,85,Personal Auto,Agent,408,Four-Door Car
AB13432,California,3735.838129,No,Basic,Bachelor,01-Apr-11,Unemployed,Male,0,Suburban,Single,110,Personal Auto,Agent,792,SUV
OZ97704,California,13117.52215,No,Basic,High School or Below,02-Jul-11,Employed,Female,84311,Suburban,Single,111,Personal Auto,Call Center,532.8,SUV
UF46533,California,4574.524094,No,Basic,College,1/30/11,Employed,Female,99316,Suburban,Single,114,Corporate Auto,Branch,754.358929,SUV
XP47431,AR,5470.060561,Yes,Extended,Bachelor,2/17/11,Employed,Female,54507,Suburban,Married,138,Personal Auto,Agent,702.990032,SUV
GK73582,California,2978.84601,No,Extended,Bachelor,1/13/11,Employed,Female,64586,Urban,Single,76,Personal Auto,Branch,206.837111,Four-Door Car
RV98763,Oregon,6410.967544,No,Extended,College,02-Aug-11,Employed,Male,61709,Urban,Married,82,Personal Auto,Branch,275.395894,Four-Door Car
II62831,California,4479.023088,No,Basic,Master,1/29/11,Employed,Male,94656,Urban,Married,111,Special Auto,Web,459.738128,SUV
XK33449,California,2383.731879,No,Basic,High School or Below,02-May-11,Unemployed,Female,0,Suburban,Single,69,Special Auto,Branch,496.8,Two-Door Car
TR85083,California,2764.493659,No,Basic,Bachelor,1/20/11,Employed,Male,61085,Suburban,Married,70,Personal Auto,Branch,336,Two-Door Car
EO95328,Oregon,7920.105377,No,Basic,Bachelor,1/27/11,Employed,Female,89284,Suburban,Married,67,Personal Auto,Agent,321.6,Two-Door Car
EN21086,AR,6889.097981,No,Basic,High School or Below,01-Sep-11,Unemployed,Female,0,Suburban,Divorced,63,Personal Auto,Branch,302.4,Four-Door Car
,,,,,,,,,,,,,,,,
AZ62651,Oregon,9951.707743,No,Premium,High School or Below,2/17/11,Employed,Male,56855,Suburban,Single,255,Corporate Auto,Web,1836,Luxury SUV
ZW25874,Oregon,2521.555686,No,Basic,Bachelor,2/16/11,Employed,Male,53703,Rural,Single,67,Special Auto,Branch,67.632476,Four-Door Car
,,,,,,,,,,,,,,,,
MW70227,California,6047.02516,Yes,Extended,College,2/19/11,Employed,Male,20396,Suburban,Married,76,Personal Auto,Branch,364.8,Four-Door Car
SL22297,California,11140.30248,No,Premium,Master,1/21/11,Disabled,Female,27679,Suburban,Single,150,Personal Auto,Call Center,722.486994,SUV
RV14138,Nevada,4334.064096,Yes,Extended,Bachelor,2/27/11,Retired,Female,23904,Suburban,,123,Personal Auto,Agent,590.4,SUV
UO62808,AR,2799.74791,No,Basic,High School or Below,02-Apr-11,Employed,Female,65351,Suburban,Married,69,Corporate Auto,Call Center,481.027516,Four-Door Car
